Company Name,Asset Type,Percentage Allocation
Bharti Airtel Ltd.,Equity,10.09%
ITC Ltd.,Equity,9.90%
Hindustan Unilever Ltd.,Equity,9.59%
Mahindra & Mahindra Ltd.,Equity,6.24%
Titan Company Ltd.,Equity,6.19%
Asian Paints Ltd.,Equity,6.19%
Maruti Suzuki India Ltd.,Equity,5.49%
Nestle India Ltd.,Equity,3.83%
Bajaj Auto Ltd.,Equity,3.10%
Trent Ltd.,Equity,2.72%
Tata Consumer Products Ltd.,Equity,2.65%
Britannia Industries Ltd.,Equity,2.54%
Avenue Supermarts Ltd.,Equity,2.46%
Varun Beverages Ltd.,Equity,2.40%
Apollo Hospitals Enterprise Ltd.,Equity,2.31%
Eicher Motors Ltd.,Equity,2.29%
Tata Power Company Ltd.,Equity,2.27%
Hero Motocorp Ltd.,Equity,2.17%
Max Healthcare Institute Ltd.,Equity,2.04%
DLF Ltd.,Equity,1.89%
Godrej Consumer Products Ltd.,Equity,1.73%
Info Edge (India) Ltd.,Equity,1.61%
The Indian Hotels Company Ltd.,Equity,1.56%
Havells India Ltd.,Equity,1.38%
Colgate-Palmolive Ltd.,Equity,1.36%
Dabur India Ltd.,Equity,1.31%
United Spirits Ltd.,Equity,1.31%
Adani Transmission Ltd.,Equity,1.27%
Marico Ltd.,Equity,1.15%
Page Industries Ltd.,Equity,0.96%
Triparty Repo,Others,0.04%
Net Receivables/(Payable),Others,-0.04%
