Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,13.49%
Reliance Industries Ltd.,Equity,9.22%
ICICI Bank Ltd.,Equity,7.36%
Infosys Ltd.,Equity,5.79%
Larsen & Toubro Ltd.,Equity,4.39%
ITC Ltd.,Equity,4.32%
Tata Consultancy Services Ltd.,Equity,4.06%
Axis Bank Ltd.,Equity,3.20%
Kotak Mahindra Bank Ltd.,Equity,2.94%
Bharti Airtel Ltd.,Equity,2.75%
State Bank Of India,Equity,2.58%
Hindustan Unilever Ltd.,Equity,2.50%
Bajaj Finance Ltd.,Equity,2.14%
HCL Technologies Ltd.,Equity,1.63%
Mahindra & Mahindra Ltd.,Equity,1.62%
Titan Company Ltd.,Equity,1.61%
Asian Paints Ltd.,Equity,1.61%
National Thermal Power Corporation Ltd.,Equity,1.56%
Tata Motors Ltd.,Equity,1.44%
Maruti Suzuki India Ltd.,Equity,1.43%
Sun Pharmaceuticals Ind Ltd.,Equity,1.43%
Ultratech Cement Ltd.,Equity,1.27%
Tata Steel Ltd.,Equity,1.19%
Power Grid Corporation Of India Ltd.,Equity,1.14%
Indusind Bank Ltd.,Equity,1.11%
Nestle India Ltd.,Equity,0.99%
Bajaj Finserv Ltd.,Equity,0.96%
Hindalco Industries Ltd.,Equity,0.94%
Coal India Ltd.,Equity,0.91%
JSW Steel Ltd.,Equity,0.88%
Oil & Natural Gas Corporation Ltd.,Equity,0.84%
Tech Mahindra Ltd.,Equity,0.84%
Grasim Industries Ltd.,Equity,0.82%
Bajaj Auto Ltd.,Equity,0.80%
Adani Ports and Special Economic Zone Ltd.,Equity,0.79%
Adani Enterprises Ltd.,Equity,0.78%
Dr Reddys Laboratories Ltd.,Equity,0.74%
HDFC Life Insurance Company Ltd.,Equity,0.72%
Wipro Ltd.,Equity,0.70%
Tata Consumer Products Ltd.,Equity,0.69%
Cipla Ltd.,Equity,0.69%
SBI Life Insurance Company Ltd.,Equity,0.68%
Britannia Industries Ltd.,Equity,0.66%
Ltimindtree Ltd.,Equity,0.61%
Apollo Hospitals Enterprise Ltd.,Equity,0.60%
Eicher Motors Ltd.,Equity,0.59%
Hero Motocorp Ltd.,Equity,0.57%
Divi Laboratories Ltd.,Equity,0.52%
Bharat Petroleum Corporation Ltd.,Equity,0.45%
UPL Ltd. (Erstwhile United Phosphorus Ltd.),Equity,0.31%
Triparty Repo,Others,0.13%
Net Receivables/(Payable),Others,-0.02%
