fund_house,scheme_type,scheme_category,scheme_code,scheme_name
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Banking and PSU Fund,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Banking and PSU Fund,119552,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Banking and PSU Fund,119553,Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Banking and PSU Fund,108272,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Banking and PSU Fund,110282,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Banking and PSU Fund,108274,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Banking and PSU Fund,110490,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Banking and PSU Fund,106157,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Banking and PSU Fund,108273,Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Banking and PSU Fund,103176,Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Banking and PSU Fund,119550,Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth
Axis Mutual Fund,Debt scheme,Debt Scheme - Banking and PSU Fund,128952,Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option
Axis Mutual Fund,Debt scheme,Debt Scheme - Banking and PSU Fund,120437,Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW
Axis Mutual Fund,Debt scheme,Debt Scheme - Banking and PSU Fund,120438,Axis Banking & PSU Debt Fund - Direct Plan - Growth Option
Axis Mutual Fund,Debt scheme,Debt Scheme - Banking and PSU Fund,120439,Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW
Axis Mutual Fund,Debt scheme,Debt Scheme - Banking and PSU Fund,120436,Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW
Axis Mutual Fund,Debt scheme,Debt Scheme - Banking and PSU Fund,128953,Axis Banking & PSU Debt Fund - Bonus Option
Axis Mutual Fund,Debt scheme,Debt Scheme - Banking and PSU Fund,117447,Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW
Axis Mutual Fund,Debt scheme,Debt Scheme - Banking and PSU Fund,117446,Axis Banking & PSU Debt Fund - Regular Plan - Growth option
Axis Mutual Fund,Debt scheme,Debt Scheme - Banking and PSU Fund,117449,Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW
Axis Mutual Fund,Debt scheme,Debt Scheme - Banking and PSU Fund,117448,Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW
